question,answer,category
What are classic causes of microcytic and macrocytic anemias?,"Microcytic (MCV < 80): iron deficiency, thalassemia, anemia of chronic disease; Macrocytic (MCV > 100): B12 or Folate deficiency",Hematology & Oncology
"Anemia + low retic, low ferritin, low iron, high TIBC",Iron Deficiency Anemia,Hematology & Oncology
"Anemia + high retic, nl/high ferritin, nl/high iron + target cells (smear)","Thalassemia- deffective Hb chains (A- Africa, B- India)",Hematology & Oncology
"Anemia + Headache, abdominal pain, basophilic stippling (smear)","Chronic Lead Poisoning, may also see Burton's line (blue line on gums)",Hematology & Oncology
"Anemia + low retic, low iron, normal ferritin, normal TIBC",Anemia of Chronic Disease: microcytic or normocytic,Hematology & Oncology
Anemia + Hypersegmented neutrophils + Neurologic changes,"B12 deficiency, hypersegmented neutrophils (on periperal smear)",Hematology & Oncology
What patients are at higher risk for B12 deficiency?,"Crohns, on PPI, vegan diet",Hematology & Oncology
Anemia + Hypersegmented neutrophils + NO neurologic changes,Folate Deficiency (also consider in alcoholicswith anemia),Hematology & Oncology
What pateints are at higher risk for Folate deficiency?,"alcoholics, tea and toast elderly",Hematology & Oncology
What are the most common causes of pancytopenia?,"Malignancy (leukemias), nutritional deficiency (B12 or folate deficiency), infection, toxin exposure, aplastic anemia (complication of hepatitis)",Hematology & Oncology
Most common initial presentation of sickle cell in infants?,"Acute Dactylitis: pain and swelling of hands and feet 2/2 vasoocclusive crisis, 2/2 infarction NOT infection; Tx: supportive",Hematology & Oncology
Treatment of Sickle Cell pt with Priapism?,"Low-flow (venous/ischemic) causes erect penis with soft glans; Tx: aspirate corpus, intra-cavernous phenylephrine, surgical drainage prn",Hematology & Oncology
Treatment of Sickle Cell pt with Stroke?,Emergent exchange transfusion,Hematology & Oncology
Dx and Tx of Acute Chest Syndrome,"Sickle cell pt with fever, SOB and infiltrate on CXR, HIGH mortality (most common cause of death in sickle cell pts). Causes: infection, VOC, fat embolism; Tx: ICU admit, supportive (incentive spirometer, IVF, O2, pain control) antibiotics for CAP, pRBCs vs. exchange transfusion (severe crises marked by PaO2 < 60 mm Hg, not first line)",Hematology & Oncology
Kid with sickle cell + nontraumatic rapid drop in Hb,"Aplastic Crisis. SSx: pallor, weakness/lethargy, shock; arthralgias, arthritis (adults). Dx: Hgb drop by at least 2 points from their baseline, LOW retic <2%; associated with Parvovirus B19. Tx: pRBCs, IVIG",Hematology & Oncology
"Kid with sickle cell, abdominal pain + rapid drop in Hb","Splenic Sequestration: rapid sequestration of RBCs in the spleen causing splenomegaly and severe anemia. SSx: pallor, splenomegaly. Dx: low Hgb, high retic. Tx: IVF, transfuse prn, splenectomy",Hematology & Oncology
What infections are more common in sickle cell patients?,"Encapsulated organisms: S. pneumoniae, H. influenzae, N. meningitides",Hematology & Oncology
African American +HIV + anemia after starting on dapsone,"G6PD deficiency. X-linked recessive. Most common disease-producing enzympathy in humans. Found in African, Asian, and Mediterranean ancestry. Oxidative stress causes hemlytic anemia. Potective aganst malaria. Dx: neg. Coombs, Heinz bodies on smear.",Hematology & Oncology
What are potential G6PD triggers?,"Fava beans, Infections, Meds: dapsone, TMP-SMX, phenazopyridine, nitrofurantoin, antimalarials, rasburicase, and methylene blue",Hematology & Oncology
"Old person, gradual face swelling, perioribital edema, cough, and cyanosis. Hx of smoking.",Superior vena cava syndrome. Dx: CT chest w/ contrast Tx: depends on etiology,Hematology & Oncology
Thresholds for platelet transfusions in adults,"Trauma or active bleeding, ITP: less than 50,000k / coagulation disorder: 20,000k / everyone else: 5,000-10,000k.",Hematology & Oncology
Patient with massive tranfusion develops chvostek sign and trousseau sign.,Hypocalcemia related to citrate in transfusion.,Hematology & Oncology
Hx and Dx of G6PD deficiency,"X-linked recessive. Most common disease-producing enzymopathy in humans. Found in African, Asian, and Mediterranean ancestry. Oxidative stress causes hemolytic anemia. Protective against malaria. Dx: neg. Coombs, Heinz bodies on smear.",Hematology & Oncology
Procedures & Skills Bizz,Describe adequate CPR prior to placement of a definitive airway,Procedures
"Minimize interruptions, adequate rate (>100/min), adequate depth (>50mm in adults, ⅓ the anterior-posterior (AP) chest diameter in children), allow full chect recoil (avoid leaning), avoid excessive ventilations (30 compressions: 2 BVM breaths); rhythm check every 2 min",What is the appropropriate compression to ventilation ratio in a newborn?,Procedures
"30:2 compression-to-ventilation ratio for single rescuers, 15:2 compression-to-ventilation ratio for 2 person rescuers",What level of ETCO2 indicates adequate chest compressions during resuscitation?,Procedures
10-20 mmHg; maintaining level >15 is associated with better outcomes; <15 rarely with ROSC; waveform will abruptly increase with ROSC,What are possible reversible causes of cardiac arrest?,Procedures
"Hypoxia, Hydorgen Ion (Acidosis), Hyperkalemia, Hypothermia, Hypovolemia/hemorrhage, Tamponade, Tension Pneumothorax, Thrombosis (ACS or PE), Toxicologic, Trauma",What medications should be considered for VFib/VTach arrest?,Procedures
"Epinephrine 1mg q3m, Amiodarone 300mg x1, Lidocaine 1-1.5mg/kg (repeat 0.5mg/kg), Magnesium 2g IVP (esp if torsades), Calcium chloride 1amp (esp if possible hyperkalemia), Bicarb (esp if prolonged arrest)",Are pads or paddles better for defibrillation?,Procedures
Pads- better skin contact and safety,What rhythms during cardiac arrest should be defibrillated and at what dose?,Procedures
"Shock VFib or VTach; 360J for monophasic, 150-200J for biphasic",What are general criteria for Therapeutic Hypothermia after cardiac arrest?,Procedures
"VFib/VTach arrest, ROSC < 60min, induction time < 6 hrs from ROSC, Comatose (or GCS < 9), MAP > 80 mmHg. Consider if PEA with ROSC < 30min, no contraindications",What are contraindications to Therapeutic Hypothermia?,Procedures
"DNR order, sepsis, cancer with brain mets, active bleeding, advanced dementia",What is the temp goal with Therapeutic Hypothermia?,Procedures
Patients with what ASA classes are likely inappropriate for procedural sedation in the ED?,Class III (severe systemic disease) or worse,Procedures
What volume of pericardial fluid can be identified on bedside US?,What are general indications for endotracheal intubation?,Procedures
"Failure of ventilation (hypercarbia) or oxygenation (hypoxia), failure of airway maintenance or protection, anticipated clinical course",Procedures and Skills,Procedures
What factors predict difficulty with BVM ventilation?,"Obesity (or pregnancy), Beard, Elderly (>55), Potential airway obstruction, Edentulous",Procedures
Review the LEMON Rule for predicted difficult intubation,"LEMON: Look externally, Evaluate 3-3-2, Mallampati Score (Class IV = strongest predictor of difficult intubation), Obstruction, Neck mobility",Procedures
Review definitions of Mallampati I-IV,"I: full view of uvula and tonsillar pillars, II: full view of uvula, III: partial view of uvula/base, IV: only hard palate visible",Procedures
What meds may be given as pretreatment prior to intubation and what are the theoretical benefits of each?,"Lidocaine: blunt increased ICP, bronchospams; Fentanyl: thought to blunt sympathetic response to intubation; Atropine: often given in kids to prevent reflex bradycardia with intubation",Procedures
What complication of fentanyl can not be reversed with Narcan?,Chest wall rigidity (rare complication),Procedures
For what patient types is Succinylcholine contraindicated?,"Known hyperkalemia, denervation injuries (stroke, spinal cord) > 5 days old until 6 months post-injury; Neuromuscular diseases indefinitely (e.g. MS: may not work, AML); Intra-abdominal sepsis > 5 days until resolution, recent cocaine or amphetamine use, cholinergic toxidromes (e.g. organophosphates as it will cause prolonged paralysis).",Procedures
What are the rules regarding oral intake prior to procedural sedation?,No oral intake > 3hr (may accept small clear liquids). Note: dislocation reduction and other urgent / emergent procedures should not be delayed to allow time for fasting.,Procedures
"What defines Minimal, Moderate, Deep sedation vs General Anesthesia?","Minimal: anxiolysis, no affect on breathing or vitals; Moderate: purposeful response to stimulation, none to minimal effects on breathing or vitals; Deep: purposeful response only to deep pain, likely depressed breathing; General: no response, requires support of breathing and vitals",Procedures
"What are potential side effects of the following agents used for prodedural sedation: Etomidate, Ketamine, Fentanyl/Midazolam?","Etomidate: myoclonus, adrenal suppression, respiratory depression; Ketamine: emergence reaction, laryngospasm, nystagmus, vomiting; Fentanyl/Midazolam: respiratory depression, cardiac depression; Propofol: hypotension, apnea",Procedures
What is the main contraindication to the use of Ketamine?,Schizophrenia (may increase psychosis),Procedures
What are the potential benefits of ultrasound guided central lines?,"Increases rate of success on initial attempt, decreases number of attempts but similar complication rate to non-US guided",Procedures
True or False- Ultrasound guidance can be used for subclavian central line placement,True- it can be used for the supraclavicular approach but not the traditional infraclavicular approach,Procedures
What is the appropriate depth for placement of right and left internal jugular and subclavian lines?,"R IJ: 13cm, R SC: 15cm, L SC: 17cm, L IJ: 15cm; all ±2cm",Procedures
Equipment needed for needle cricothyroidomy,"Syringe (3- or 5-ml), ETT (3.0 mm), over-the-needle catheter (14G)",Procedures
What is the appropriate intervention for a failed airway in a pediatric patient (<8-10yr)?,Surgical cricothyrotomy is contraindicated in this age group due to small membrane. Perform needle cric with transtracheal ventilation. 3.5mm ETT cap can be attached to the angiocatheter and BVM can be attached to cap for ventilation,Procedures
What are the steps for performing a emergent cricothyroidomy?,1) Prepare the skin with antiseptic solution; 2) Locate cricothyroid membrane (below thyroid cartilage& above cricoid cartilage); 3) Make a vertical incision in the midline through the skin and SQ tissues; 4) Dilate the cricothyroid membrane; 5) Place a 6.0 cuffed endotracheal tube or tracheostomy tube and inflate,Procedures
Block to anesthetize ipsilateral forehead and scalp,Supraorbital,Procedures
Block to anesthetize area between lower eyelid and upper lip,Infraorbital,Procedures
Block to anesthetize ipsilateral maxillary molars,Posterior superior alveolar,Procedures
"Block to anesthetize ipsilateral mandibular teeth, lower lip, chin",Inferior alveolar,Procedures
What are the relative contraindications to arthrocentesis?,"Overlying skin infection, bleeding diathesis, bacteremia",Procedures
Location of arthrocentesis for the ankle,Medial to the anterior tibial tendon and directed toward the anterior edge of the medial malleolus,Procedures
Location of arthrocentesis for the elbow,Lateral aspect distal to the lateral epicondyle and directed medially,Procedures
Location of arthrocentesis for the knee,Midpoint or upper portion of patella and directed beneath the posterior surface of patella into joint,Procedures
Location of arthrocentesis for the shoulder,Inferior and lateral to the coracoid process and directed posteriorly toward the glenoid rim,Procedures
Synovial fluid differences between inflammatory and infectious arthritis,"Inflammatory: clear to opaque, low viscosity, WBC 2-50k, PMN ≥ 50%, culture neg, tot protein 3-5, LDH high, glucose >25 (lower than serum). Infectious: opaque, variable viscosity, WBC >50k, PMN ≥ 75%, culture often pos, tot protein 3-5, LDH variable, glucose <25 (MUCH lower than serum)",Procedures
Location for escharotomies,Neck: incise from clavicle to mastoid process. Chest wall: incise along anterior axillary line from 2nd to 12th rib. Extremities: incise on medial and lateral aspects 1 cm proximal to 1 cm distal to burn,Procedures
Review the basics of local anesthetics,"Amides: lidocaine, bupivacaine (2 Is). Esters: tetracaine, benzocaine (1 I), allergenic 2º to (PABA); Benzocaine: cardiotoxicity, methemoglobinemia, Lidocaine: seizures, hypotension; toxicity Rx: lipid emulsion",Procedures
Greater saphenous vein cutdown location,1-2cm anterior and superior to the medial malleolus,Procedures
Contraindication for tonometry,Suspected or confirmed globe rupture,Procedures
Describe the steps required for an emergent lateral canthotomy & cantholysis,"1) Anesthetize the lateral canthus 2) Crush lateral canthus with a straight Kelly clamp x1-2 min 3) Remove clamp + cut the inferior crus of the lateral canthal tendon. **Note: If unsuccessful, cut superior crus of the lateral canthus**",Procedures
What are the clinical indicators of a successful lateral canthotomy + antholysis,1) Improved visual acuity; 2) Resolution of a previously detected APD; 3) ↓ in IOP to < 40 mm Hg,Procedures
Proper lateral neck radiograph positioning,"Neck in extension, end-inspiration",Procedures
Approach to epistaxis management,"Apply external pressure to the nasal bridge (often ineffective) → topical vasocontrictors / anesthestics → packing (anterior packs left in 2-5d; includes ribbon gauze, nasal nponges, tampons & balloon catheters). Consider cautery (will not work on actively bleeding vessels), TXA.",Procedures
Approach to failed anterior pack,Consider posterior bleed! Same approach as above but….remove anterior pack and replace with posterior pack. Can use commercial device or Foley catheter.,Procedures
Location for intracavernosal aspiration/injection for pripasim,Performed at 2 or 10 o’clock position on the proximal shaft at the dorsal surface. This is the location of the corpus cavernosum,Procedures
Tx of a thrombosed hemorrhoid,"Clot excision with elliptical incision, do not do this if it has been present for >48hrs as they will heal spontaneously at this point and excision does not help.",Procedures
"When draining a peritonsillar abscess, what structure is at risk and how can it be avoided?","Internal carotid artery (2.5cm posterolateral to tonsil), jugular vein. Keep the needle as medial as possible, and cut the needle cap to make a needle guard, ensuring a maximum of 1 cm insertion depth.",Procedures
